strain,normal_stress_GPa,,,,Lx_angstrom,Ly_angstrom,Lz_angstrom,,,
0.083125,32.41364324,0.068000102,-0.055889523,45.83150158,67.85028867,62.91805132,60.52908935,-134414.5487,2177.080448,1074.215658
0.08375,32.46286841,-0.141747053,-0.118173512,46.09322942,67.88944059,62.91650598,60.50880643,-134382.3792,2181.202071,1076.249351
0.084375,32.50944913,0.05972164,0.118602554,45.84926633,67.92859252,62.92229482,60.50726685,-134326.6885,2161.968045,1066.758892
0.085,32.73472441,0.128955316,0.07043997,46.15295311,67.96774445,62.93382915,60.48360977,-134294.3,2166.088566,1068.792041
0.085625,32.84963582,-0.237600042,-0.059273775,46.66683306,68.00689637,62.93563946,60.4441952,-134246.2641,2155.063971,1063.352282
0.08625,32.90276176,0.018066851,-0.028905675,46.53923168,68.0460483,62.94368748,60.41901039,-134220.1505,2165.538818,1068.520784
0.086875,32.98458306,0.127057238,0.083436876,46.49843359,68.08520023,62.95958856,60.42651252,-134178.5026,2161.040582,1066.301263
0.0875,33.04862749,-0.272094345,-0.062968839,46.97544091,68.12435215,62.93800984,60.38541311,-134146.8493,2166.364671,1068.928277
0.088125,33.0452787,0.072048933,0.014521534,46.67191993,68.16350408,62.98075666,60.33089379,-134114.4697,2170.724741,1071.079624
0.08875,33.15199401,0.171510955,0.016083717,46.75173762,68.20265601,62.99815509,60.30321923,-134074.354,2167.649125,1069.562052
0.089375,33.33361551,-0.261086308,-0.078262359,47.38133596,68.24180793,62.95928655,60.30318751,-134046.2788,2176.712809,1074.034258
0.09,33.16411516,-0.014649924,0.058448445,46.87025672,68.28095986,62.97352562,60.28538209,-133995.0322,2162.466805,1067.004991
0.090625,33.34221872,0.262426619,0.079852506,46.91152294,68.32011179,63.02023145,60.23795419,-133948.2969,2153.312335,1062.487989
0.09125,33.41923291,-0.312075289,-0.164726584,47.59942436,68.35926371,62.99391367,60.20019232,-133905.9868,2148.364288,1060.046523
0.091875,33.53513977,0.057408202,0.067512697,47.33751869,68.39841564,63.00702312,60.21275173,-133868.7597,2148.473663,1060.100491
0.0925,33.75921767,0.085139376,0.051247029,47.64632181,68.43756757,63.01473625,60.17873036,-133864.6447,2181.868295,1076.578079
0.093125,33.60067413,-0.020463847,-0.02290459,47.54919527,68.47671949,63.03093526,60.11766118,-133813.596,2168.181956,1069.824962
0.09375,33.70224715,0.249470479,0.051358045,47.45007749,68.51587142,63.05601512,60.08843209,-133784.6127,2176.608068,1073.982577
0.094375,33.8016272,0.055378817,0.080655769,47.70653868,68.55502334,63.0346869,60.10184286,-133743.0607,2172.651369,1072.030261
0.095,33.92266642,-0.145379721,0.008064447,48.07135883,68.59417527,63.02960054,60.08305262,-133707.7478,2175.362646,1073.36806
0.095625,34.02396186,0.039537567,-0.012194571,48.09785561,68.6333272,63.05966313,60.03240421,-133676.8384,2181.933362,1076.610185
0.09625,33.93811507,0.223628872,0.078304824,47.78257474,68.67247912,63.06895097,60.00472532,-133617.925,2161.024043,1066.293102
0.096875,33.96884525,-0.232484489,-0.023887164,48.22116056,68.71163105,63.05562545,59.98575431,-133568.5618,2149.560142,1060.636581
0.0975,34.15529828,0.198375969,0.086493566,48.10164805,68.75078298,63.09540269,59.95337291,-133548.9908,2167.879633,1069.67579
